likely;1287
sometimes;202
likely;1287
sometimes;202
probably;3008
frequently;66
could have;173
often;234
apparently;273
arguably;23
conceivably;5
likely;1287
ostensibly;2
perhaps;633
possibly;293
potentially;533
presumably;145
probably;3008
seemingly;16
supposedly;22
tentatively;1
theoretically;15
unlikely;113
commonly;25
frequently;66
generally;264
normally;216
occasionally;31
often;234
oftentimes;0
rarely;41
routinely;1
seldom;6
sometimes;202
typically;133
usually;278
apparent;22
apt to;0
conceivable;3
doubtful;7
hypothetical;5
implausible;1
improbable;1
indicative;9
likely;1287
plausible;37
possible;2315
potential;234
predictive;0
probabilistic;0
probable;4
prone to;16
putative;0
speculative;5
suggestive;0
theoretical;12
unlikely;113
characteristic;28
common;1155
commonplace;0
frequent;26
general;752
normal;396
occasional;16
pervasive;6
popular;32
prevalent;1
rare;84
regular;234
scarce;3
typical;61
uncommon;15
not uncommon;2
usual;167
