Feature;Number of comments;Number of features
I wonder;268;269
I struggle;1;1
I'm not sure;921;928
I am not sure;309;310
I'm curious;47;47
I am curious;9;8
I bet;18;18
I would guess not;0;0
I'm confused;33;33
I am confused;6;6
I guess;837;848
I doubt;83;88
I think;4934;5351
I believe;664;680
I reckon;0;0
I suppose;166;167
I suspect;256;256
I don't understand;223;221
I do not understand;11;11
I couldn't understand;4;4
I could not understand;1;1
I don't know;677;692
I do not know;41;41
I don't get it;5;5
I do not get it;0;0
I'm unsure;15;15
I am unsure;7;6
Total;8797;10006
