Feature;Number of comments;Number of features
sort of;203;196
maybe;1712;1811
may;2312;2624
might;2578;2821
perhaps;590;633
could;5432;6108
seems;3683;3946
seems like;723;738
might feel a bit;0;0
kind of;470;478
loosely speaking;0;0
more or less;34;33
roughly;44;44
pretty;853;902
pretty much;105;114
relatively;81;82
somewhat;197;203
rather;1447;1533
mostly;491;508
technically;110;110
strictly speaking;7;7
essentially;175;177
in essence;11;10
basically;367;377
principally;2;2
particularly;104;105
par excellence;0;0
largely;29;29
for the most part;16;16
very;2619;3300
especially;720;724
exceptionally;3;3
quintessential;0;0
quintessentially;0;0
literally;26;26
often;226;234
almost;315;322
typical;56;59
typically;128;133
as it were;0;0
in a sense;8;8
in one sense;0;0
in a real sense;0;0
in an important sense;0;0
in a way;80;80
mutatis mutandis;0;0
in a manner of speaking;0;0
details aside;1;1
so to say;0;0
a veritable;0;0
a true;12;8
a real;187;185
a regular;42;41
virtually;10;17
all but technically;0;0
practically;16;16
all but a;1;1
anything but a;0;0
a self-styled;0;0
nominally;1;1
he calls himself a;0;0
she calls herself a;0;0
they call themselves a;0;0
he calls himself an;0;0
she calls herself an;0;0
they call themselves an;0;0
in name only;0;0
actually;3040;3264
really;2569;2796
he as much as;0;0
she as much as;0;0
they as much as;0;0
can be tooked upon as;0;0
can be viewed as;0;0
pseudo-;25;20
pseudo;25;26
crypto-;66;5
crypto;66;122
can;13208;16562
must;8037;8159
should;10259;12194
will;11107;13705
would;8901;11090
allege;0;0
alleges;0;0
alleged;4;4
alleging;0;0
allude;2;2
alludes;0;0
alluded;3;3
alluding;8;13
argue;68;74
argues;1;1
argued;6;6
arguing;13;17
assert;117;147
asserts;40;42
asserted;5;5
asserting;17;18
charge;25;27
charges;0;0
charged;4;4
charging;26;55
claim;51;51
claims;25;25
claimed;31;35
claiming;6;6
contend;2;2
contends;0;0
contended;2;3
contending;1;1
forecast;0;0
forecasts;0;0
forecasting;0;0
foreshadow;0;0
foreshadows;0;0
foreshadowed;0;0
foreshadowing;0;0
hint;55;75
hints;26;28
hinted;5;12
hinting;4;18
implicate;0;0
implicates;0;0
implicated;2;2
implicating;0;0
imply;59;59
implies;642;644
implied;30;33
implying;9;9
point to;139;130
points to;48;49
pointed to;10;8
pointing to;35;35
point toward;0;0
points toward;0;0
pointed toward;0;0
pointing toward;0;0
portend;0;0
portends;0;0
portended;0;0
portending;0;0
posit;0;0
posits;0;0
posited;1;1
positing;0;0
postulate;0;0
postulates;0;0
postulated;1;1
postulating;0;0
predict;9;9
predicts;0;0
predicted;3;3
predicting;1;1
propose;107;108
proposes;5;5
proposed;235;247
proposing;30;30
suggest;455;467
suggests;108;110
suggested;530;536
suggesting;103;110
anticipate;11;11
anticipates;0;0
anticipated;16;16
anticipating;5;5
approximate;1;1
approximates;1;1
approximated;1;1
approximating;2;2
assess;4;4
assesses;0;0
assessed;1;1
assessing;0;0
reassess;0;0
reassesses;0;0
reassessed;0;0
reassessing;0;0
assume;698;723
assumes;97;99
assumed;155;164
assuming;461;463
believe;904;947
believes;10;10
believed;14;14
believing;1;1
conceive;2;2
conceives;0;0
conceived;0;0
conceiving;0;0
conceptualize;0;0
conceptualizes;0;0
conceptualized;0;0
conceptualizing;0;0
conclude;17;17
concludes;1;1
concluded;11;11
concluding;0;0
consider;638;654
considers;15;16
considered;226;236
considering;215;221
deem;4;4
deems;0;0
deemed;19;19
deeming;0;0
doubt;128;135
doubts;13;14
doubted;1;1
doubting;0;0
envision;15;15
envisions;0;0
envisioned;5;5
envisioning;0;0
estimate;23;23
estimates;3;3
estimated;5;7
estimating;2;2
reestimate;0;0
reestimates;0;0
reestimated;0;0
reestimating;0;0
evaluate;189;215
evaluates;11;11
evaluated;21;21
evaluating;17;21
expect;612;674
expects;71;72
expected;738;1537
expecting;106;107
extrapolate;0;0
extrapolates;1;1
extrapolated;0;0
extrapolating;0;0
fear;34;35
fears;0;0
feared;3;3
fearing;0;0
feel;908;929
feels;168;179
felt;43;45
feeling;63;64
find;1520;1673
finds;46;47
found;1310;1421
finding;165;168
foresee;6;6
foresees;0;0
foresaw;0;0
foreseen;1;1
foreseeing;0;0
hold;402;419
holds;52;56
held;95;126
holding;120;129
hope;385;390
hopes;15;15
hoped;14;14
hoping;203;204
hypothesize;0;0
hypothesizes;0;0
hypothesized;0;0
