Feature;Number of comments;Number of features
likely;1218;1259
sometimes;192;203
probably;2849;3007
frequently;63;66
could have;173;173
often;226;234
apparently;269;273
arguably;23;23
conceivably;5;5
ostensibly;2;2
perhaps;590;633
possibly;287;293
potentially;528;533
presumably;142;145
seemingly;16;16
supposedly;22;22
tentatively;1;1
theoretically;15;15
unlikely;108;113
commonly;25;25
generally;261;264
normally;185;215
occasionally;29;31
oftentimes;0;0
rarely;41;41
routinely;1;1
seldom;6;6
typically;128;133
usually;268;278
apparent;22;22
apt to;0;0
conceivable;3;3
doubtful;7;7
hypothetical;5;5
implausible;1;1
improbable;1;1
indicative;8;9
plausible;37;37
possible;2186;2280
potential;218;222
predictive;0;0
probabilistic;0;0
probable;4;4
prone to;16;16
putative;0;0
speculative;4;4
suggestive;0;0
theoretical;12;12
characteristic;7;27
common;863;1087
commonplace;0;0
frequent;21;22
general;664;705
normal;322;357
occasional;16;16
pervasive;5;5
popular;32;32
prevalent;1;1
rare;78;84
regular;212;234
scarce;3;3
typical;56;59
uncommon;15;15
not uncommon;2;2
usual;151;161
Total;10423;13443
