Feature;Number of comments;Number of features
sort of;286;288
maybe;5314;5484
may;3403;3766
might;4225;4487
perhaps;1501;1538
could;8387;9137
seems;4882;5130
seems like;1219;1247
might feel a bit;0;0
kind of;864;879
loosely speaking;0;0
more or less;48;45
roughly;41;42
pretty;1010;1027
pretty much;112;112
relatively;63;63
somewhat;259;260
rather;2470;2559
mostly;333;335
technically;314;323
strictly speaking;30;30
essentially;139;139
in essence;11;11
basically;471;490
principally;1;1
particularly;150;152
par excellence;0;0
largely;22;23
for the most part;5;5
very;1828;1918
especially;539;543
exceptionally;3;3
quintessential;0;0
quintessentially;0;0
literally;45;46
often;317;322
almost;273;278
typical;81;87
typically;183;184
as it were;0;0
in a sense;13;13
in one sense;0;0
in a real sense;0;0
in an important sense;0;0
in a way;62;62
mutatis mutandis;0;0
in a manner of speaking;0;0
details aside;0;0
so to say;0;0
a veritable;0;0
a true;22;18
a real;193;190
a regular;85;84
virtually;7;7
all but technically;0;0
practically;11;11
all but a;0;0
anything but a;2;2
a self-styled;0;0
nominally;4;5
he calls himself a;0;0
she calls herself a;0;0
they call themselves a;0;0
he calls himself an;0;0
she calls herself an;0;0
they call themselves an;0;0
in name only;0;0
actually;4782;5030
really;4377;4616
he as much as;0;0
she as much as;0;0
they as much as;0;0
can be tooked upon as;0;0
can be viewed as;2;2
pseudo-;37;17
pseudo;37;39
crypto-;37;0
crypto;37;42
can;17292;19809
must;1387;1473
should;19257;21436
will;13383;15725
would;11957;13961
allege;0;0
alleges;0;0
alleged;0;0
alleging;0;0
allude;2;2
alludes;1;1
alluded;1;1
alluding;2;2
argue;102;102
argues;2;2
argued;11;11
arguing;17;17
assert;828;921
asserts;129;139
asserted;23;23
asserting;66;66
charge;10;11
charges;0;0
charged;2;2
charging;14;25
claim;40;42
claims;39;39
claimed;10;10
claiming;11;11
contend;5;5
contends;0;0
contended;5;12
contending;2;2
forecast;0;0
forecasts;0;0
forecasting;0;0
foreshadow;0;0
foreshadows;0;0
foreshadowed;0;0
foreshadowing;0;0
hint;89;99
hints;24;26
hinted;7;7
hinting;3;3
implicate;0;0
implicates;0;0
implicated;0;0
implicating;0;0
imply;117;118
implies;256;263
implied;108;110
implying;21;21
point to;217;213
points to;100;103
pointed to;36;35
pointing to;72;75
point toward;0;0
points toward;0;0
pointed toward;0;0
pointing toward;0;0
portend;0;0
portends;0;0
portended;0;0
portending;0;0
posit;0;0
posits;0;0
posited;0;0
positing;0;0
postulate;0;0
postulates;0;0
postulated;0;0
postulating;0;0
predict;12;12
predicts;0;0
predicted;7;8
predicting;0;0
propose;80;80
proposes;4;4
proposed;76;78
proposing;20;21
suggest;1080;1093
suggests;141;144
suggested;356;363
suggesting;164;170
anticipate;18;19
anticipates;1;1
anticipated;9;9
anticipating;8;8
approximate;10;10
approximates;0;0
approximated;0;0
approximating;1;1
assess;8;8
assesses;0;0
assessed;3;3
assessing;0;0
reassess;0;0
reassesses;0;0
reassessed;0;0
reassessing;0;0
assume;1015;1037
assumes;169;173
assumed;177;181
assuming;512;522
believe;906;929
believes;3;3
believed;2;2
believing;5;5
conceive;0;0
conceives;0;0
conceived;2;2
conceiving;0;0
conceptualize;0;0
conceptualizes;0;0
conceptualized;0;0
conceptualizing;0;0
conclude;13;13
concludes;2;2
concluded;16;16
concluding;0;0
consider;1186;1216
considers;26;26
considered;300;306
considering;216;219
deem;3;3
deems;1;1
deemed;5;5
deeming;0;0
doubt;153;155
doubts;8;8
doubted;0;0
doubting;1;1
envision;18;18
envisions;0;0
envisioned;3;3
envisioning;5;5
estimate;15;16
