Feature;Number of comments;Number of features
likely;747;782
sometimes;252;279
probably;4767;4922
frequently;55;56
could have;320;323
often;317;322
apparently;208;209
arguably;29;30
conceivably;8;8
ostensibly;0;0
perhaps;1501;1538
possibly;350;358
potentially;334;340
presumably;248;258
seemingly;20;21
supposedly;19;19
tentatively;1;1
theoretically;64;64
unlikely;273;287
commonly;41;41
generally;461;472
normally;277;281
occasionally;24;27
oftentimes;0;0
rarely;60;60
routinely;4;4
seldom;5;6
typically;183;184
usually;695;716
apparent;25;25
apt to;1;1
conceivable;8;8
doubtful;4;4
hypothetical;11;11
implausible;1;1
improbable;1;1
indicative;7;7
plausible;11;11
possible;1953;2021
potential;280;291
predictive;0;0
probabilistic;0;0
probable;10;10
prone to;49;49
putative;0;0
speculative;7;9
suggestive;5;5
theoretical;16;16
characteristic;31;36
common;1033;1130
commonplace;0;0
frequent;19;19
general;902;932
normal;441;484
occasional;8;8
pervasive;7;7
popular;22;22
prevalent;9;9
rare;122;125
regular;302;321
scarce;2;2
typical;81;87
uncommon;28;28
not uncommon;5;5
usual;156;157
Total;15086;17450
