Feature;Number of comments
reason;792
mostly;153
indications;1
interpreting;4
projects;43
thought;400
maintain;34
about;1777
evaluates;8
anything but a;1
supposing;1
viewing;2
asserts;40
evaluation;7
more or less;20
nominally;2
would;3874
finds;12
hinted;2
estimate;4
assumption;20
evaluated;12
thinks;20
negligible;1
promises;1
doubts;2
proposal;9
assertions ;25
closely;2
virtually;2
expected;234
fairly;10
opportunity;13
concepts;1
guess;25
interpretation;3
foresaw;1
alternatives;2
must;668
evaluating;3
looking;122
interpreted;11
greatly;2
shortly;13
relative;62
kind of;397
feels;77
implying;6
scheme;11
maybe;4026
concluded;2
interprets;1
notable;1
believe;39
seen;101
seem;351
see;2181
notion;13
found;235
worries;14
scenario;12
strictly speaking;13
perspective;4
worried;31
expectations;10
close;144
estimating;1
maintains;8
think;864
charge;1
implied;41
partly;3
noticeable;2
actually;2449
appear;66
holds;30
somewhat;119
implies;64
partially;11
proposing;9
a real;91
asserting;17
reasonable;30
approximate;1
project;269
promise;5
mainly;10
hold;66
claiming;4
wish;15
a true;8
pseudo-;11
view;52
sounded;3
in essence;5
roughly;17
clue;6
basically;200
wishes;1
predicted;1
worry;66
might;2502
widely;5
felt;28
doubt;10
reasonably;3
significant;21
finding;28
suppose;12
look;423
regarding;50
vision;2
candidates;4
especially;209
sees;11
hint;21
claims;5
supposed;198
relatively;27
judging;5
proposals;1
anticipating;1
assume;241
suggesting;33
little;116
some;671
virtual;108
reasons;64
rough;2
rather;1253
idea;321
nearly;10
concept;11
sort of;149
expectation;8
point to;39
expects;27
primarily;2
conclusion;5
central;5
hunch;1
wonder;12
projection;4
just;3383
views;8
thoughts;18
slight;7
suspicion;1
argue;11
approximately;3
assuming;108
interpret;10
significantly;8
for the most part;3
very;799
slightly;76
arguing;4
held;42
tendency;1
trend;3
considered;47
claimed;3
reasoning;15
imagined;1
fair;56
construct;22
hope;47
approach;46
appeared;3
largely;6
implication;3
odds;3
options;73
anticipated;1
judge;2
fear;5
large;57
literally;22
hints;6
considering;47
suspected;5
probability;1
conclude;2
deemed;1
contention;7
propose;8
hoping;16
likelihood;3
strongly;29
tiny;7
impression;7
substantially;4
indication;5
in a sense;4
appearing;6
assumed;40
evaluate;16
theory;1
primary;12
assumes;43
inference;1
hoped;3
thinking;134
seeing;55
believes;2
assert;288
viewed;2
hopes;2
assertion;46
particularly;45
implications;4
may;2168
seemed;67
could;4794
worrying;4
suggestion;198
arguments ;150
suggest;371
suspect;5
opportunities;5
opinion;22
expect;157
tended;1
contended;1
appearance;1
assess;2
regard;6
pointing to;23
wondered;10
small;81
possibilities;3
argument;251
almost;123
practically;3
sound;34
sign;34
feel;173
main;139
theses;2
foresee;2
assumptions;17
wondering;51
suggests;29
looks;855
major;12
points to;29
find;459
should;9327
inferred;2
claim;9
quite;108
presume;5
consider;399
maintained;6
expecting;43
marked;69
approximation;1
imply;28
gross;3
asserted;8
proposes;1
exceptionally;1
ideas;9
feeling;8
can be viewed as;1
sounding;1
maintaining;14
regards;8
proposed;19
chances;3
infer;3
perceived;1
prediction;1
seems;2100
in a way;21
option;118
pointed to;7
appears;50
envision;3
constructs;5
around;456
illusion;1
can;9322
holding;18
tend;32
candidate;10
considerable;1
sounds;282
proposition;2
predict;2
possibility;16
highly;4
considers;8
pretty;485
crypto-;17
chance;37
will;6085
looked;43
considerably;2
charging;6
saw;81
alternative;32
impressive;3
approaches;1
technically;153
really;2159
suggested;129
anticipate;3
opinions;7
essentially;78
suggestions;47
tends;7
Total;75246
